Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita
2011-02-01,221.898,97.3275642657165,95.05946,98.67929,53259.2552138539,33011.13423011
2011-03-01,223.046,97.5311784169,94.95897,99.17767,53259.2552138539,33011.13423011
2011-04-01,224.093,97.7347925680835,95.00921,98.08124,53259.2552138539,33011.13423011
2011-05-01,224.806,97.6329854924917,95.05946,97.78221,53259.2552138539,33011.13423011
2011-06-01,224.806,97.3275642657165,94.95897,97.88188,53259.2552138539,33011.13423011
2011-07-01,225.395,97.4293713413082,95.1097,99.57638,53259.2552138539,33011.13423011
2011-08-01,226.106,97.4293713413082,94.95897,97.98156,54080.2286497215,33518.444936892
2011-09-01,226.597,97.6329854924917,94.95897,99.37702,54080.2286497215,33518.444936892
2011-10-01,226.75,97.8365996436752,95.36091,99.67606,54080.2286497215,33518.444936892
2011-11-01,227.169,97.2257571901247,95.31067,100.4735,54080.2286497215,33518.444936892
2011-12-01,227.223,97.3275642657165,95.41116,99.27735,54080.2286497215,33518.444936892
2012-01-01,227.842,97.0221430389412,95.56188,98.67929,54080.2286497215,33518.444936892
2012-02-01,228.329,97.0221430389412,95.51164,100.1744,54080.2286497215,33518.444936892
2012-03-01,228.807,97.4293713413082,95.56188,100.0748,54080.2286497215,33518.444936892
2012-04-01,229.187,97.4293713413082,95.96382,99.4767,54080.2286497215,33518.444936892
2012-05-01,228.713,97.123950114533,95.61212,99.57638,54080.2286497215,33518.444936892
2012-06-01,228.524,96.8185288877577,95.8131,98.97832,54080.2286497215,33518.444936892
2012-07-01,228.59,96.6149147365742,96.01407,95.68901,54080.2286497215,33518.444936892
2012-08-01,229.918,96.8185288877577,95.71261,99.17767,54844.2425797154,34239.8862473683
2012-09-01,231.015,96.9203359633494,95.8131,97.98156,54844.2425797154,34239.8862473683
2012-10-01,231.638,97.0221430389412,95.91358,97.58286,54844.2425797154,34239.8862473683
2012-11-01,231.249,96.7167218121659,96.11456,96.38674,54844.2425797154,34239.8862473683
