"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/1984","232.70","232.70","232.70","232.70","","0.00%"
"01/05/1984","232.70","232.70","232.70","232.70","","-0.31%"
"01/04/1984","233.42","233.42","233.42","233.42","","0.42%"
"01/03/1984","232.45","232.45","232.45","232.45","","0.32%"
"12/30/1983","231.70","231.70","231.70","231.70","","-0.22%"
"12/29/1983","232.20","232.20","232.20","232.20","","-0.51%"
"12/28/1983","233.40","233.40","233.40","233.40","","-0.17%"
"12/27/1983","233.80","233.80","233.80","233.80","","-0.04%"
"12/23/1983","233.90","233.90","233.90","233.90","","-0.06%"
"12/22/1983","234.05","234.05","234.05","234.05","","-0.28%"
"12/21/1983","234.70","234.70","234.70","234.70","","-0.04%"
"12/20/1983","234.80","234.80","234.80","234.80","","-0.55%"
"12/19/1983","236.10","236.10","236.10","236.10","","0.25%"
"12/16/1983","235.50","235.50","235.50","235.50","","0.26%"
"12/15/1983","234.90","234.90","234.90","234.90","","-0.08%"
"12/14/1983","235.08","235.08","235.08","235.08","","-0.50%"
"12/13/1983","236.25","236.25","236.25","236.25","","-0.17%"
"12/12/1983","236.65","236.65","236.65","236.65","","-0.11%"
"12/09/1983","236.90","236.90","236.90","236.90","","1.23%"
"12/08/1983","234.03","234.03","234.03","234.03","","-0.01%"
"12/07/1983","234.05","234.05","234.05","234.05","","-0.06%"
"12/06/1983","234.20","234.20","234.20","234.20","","-0.43%"
"12/05/1983","235.20","235.20","235.20","235.20","","0.77%"
"12/02/1983","233.40","233.40","233.40","233.40","","0.37%"
"12/01/1983","232.53","232.53","232.53","232.53","","0.01%"
"11/30/1983","232.50","232.50","232.50","232.50","","-0.90%"
"11/29/1983","234.60","234.60","234.60","234.60","","-0.11%"
"11/28/1983","234.85","234.85","234.85","234.85","","-0.11%"
"11/25/1983","235.10","235.10","235.10","235.10","","0.02%"
"11/23/1983","235.05","235.05","235.05","235.05","","0.23%"
"11/22/1983","234.50","234.50","234.50","234.50","","-0.30%"
"11/21/1983","235.20","235.20","235.20","235.20","","-0.30%"
"11/18/1983","235.90","235.90","235.90","235.90","","-0.15%"
"11/17/1983","236.25","236.25","236.25","236.25","","0.36%"
"11/16/1983","235.40","235.40","235.40","235.40","","0.41%"
"11/15/1983","234.45","234.45","234.45","234.45","","-0.09%"
"11/14/1983","234.65","234.65","234.65","234.65","","-0.26%"
"11/11/1983","235.25","235.25","235.25","235.25","","0.34%"
"11/10/1983","234.45","234.45","234.45","234.45","","-0.40%"
"11/09/1983","235.40","235.40","235.40","235.40","","-0.84%"
"11/08/1983","237.40","237.40","237.40","237.40","","0.17%"
"11/07/1983","237.00","237.00","237.00","237.00","","0.15%"
"11/04/1983","236.65","236.65","236.65","236.65","","0.98%"
"11/03/1983","234.35","234.35","234.35","234.35","","-0.04%"
"11/02/1983","234.45","234.45","234.45","234.45","","-0.14%"
"11/01/1983","234.77","234.77","234.77","234.77","","0.31%"
"10/31/1983","234.05","234.05","234.05","234.05","","0.58%"
"10/28/1983","232.70","232.70","232.70","232.70","","0.04%"
"10/27/1983","232.60","232.60","232.60","232.60","","-0.15%"
"10/26/1983","232.95","232.95","232.95","232.95","","0.22%"
"10/25/1983","232.45","232.45","232.45","232.45","","-0.45%"
"10/24/1983","233.50","233.50","233.50","233.50","","0.48%"
"10/21/1983","232.38","232.38","232.38","232.38","","-0.05%"
"10/20/1983","232.50","232.50","232.50","232.50","","-0.06%"
"10/19/1983","232.65","232.65","232.65","232.65","","0.15%"
"10/18/1983","232.30","232.30","232.30","232.30","","-0.28%"
"10/17/1983","232.95","232.95","232.95","232.95","","0.06%"
"10/14/1983","232.80","232.80","232.80","232.80","","-0.15%"
"10/13/1983","233.15","233.15","233.15","233.15","","-0.48%"
"10/12/1983","234.28","234.28","234.28","234.28","","0.96%"
"10/11/1983","232.05","232.05","232.05","232.05","","0.52%"
"10/07/1983","230.85","230.85","230.85","230.85","","-0.67%"
"10/06/1983","232.40","232.40","232.40","232.40","","-0.21%"
"10/05/1983","232.90","232.90","232.90","232.90","","-0.51%"
"10/04/1983","234.10","234.10","234.10","234.10","","-0.02%"
"10/03/1983","234.15","234.15","234.15","234.15","","-0.64%"
"09/30/1983","235.65","235.65","235.65","235.65","","-0.49%"
"09/29/1983","236.80","236.80","236.80","236.80","","-0.04%"
"09/28/1983","236.90","236.90","236.90","236.90","","-0.42%"
"09/27/1983","237.90","237.90","237.90","237.90","","-0.06%"
"09/26/1983","238.05","238.05","238.05","238.05","","-0.65%"
"09/23/1983","239.60","239.60","239.60","239.60","","-1.32%"
"09/22/1983","242.80","242.80","242.80","242.80","","0.23%"
"09/21/1983","242.25","242.25","242.25","242.25","","-0.10%"
"09/20/1983","242.50","242.50","242.50","242.50","","0.33%"
"09/19/1983","241.70","241.70","241.70","241.70","","-0.76%"
"09/16/1983","243.55","243.55","243.55","243.55","","-0.45%"
"09/15/1983","244.65","244.65","244.65","244.65","","-0.26%"
"09/14/1983","245.30","245.30","245.30","245.30","","0.45%"
"09/13/1983","244.20","244.20","244.20","244.20","","0.32%"
"09/12/1983","243.42","243.42","243.42","243.42","","-0.46%"
"09/09/1983","244.55","244.55","244.55","244.55","","-0.02%"
"09/08/1983","244.60","244.60","244.60","244.60","","-0.45%"
